"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 08:03:16 GMT 2022","Wed Jun 01 08:03:17 GMT 2022","1273","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 08:03:43 GMT 2022","Wed Jun 01 08:03:45 GMT 2022","2367","test","test_conduit","TestConduit","","","test_next_page",""
"passed","Wed Jun 01 08:03:19 GMT 2022","Wed Jun 01 08:03:24 GMT 2022","4650","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Wed Jun 01 08:03:52 GMT 2022","Wed Jun 01 08:03:53 GMT 2022","1325","test","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Jun 01 08:03:36 GMT 2022","Wed Jun 01 08:03:38 GMT 2022","2311","test","test_conduit","TestConduit","","","test_collect_data",""
"passed","Wed Jun 01 08:03:25 GMT 2022","Wed Jun 01 08:03:31 GMT 2022","5770","test","test_conduit","TestConduit","","","test_modify_article",""
"broken","Wed Jun 01 08:03:33 GMT 2022","Wed Jun 01 08:03:34 GMT 2022","1363","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Jun 01 08:03:47 GMT 2022","Wed Jun 01 08:03:50 GMT 2022","3484","test","test_conduit","TestConduit","","","test_write_comment",""
"broken","Wed Jun 01 08:03:11 GMT 2022","Wed Jun 01 08:03:14 GMT 2022","3376","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Jun 01 08:03:39 GMT 2022","Wed Jun 01 08:03:41 GMT 2022","1545","test","test_conduit","TestConduit","","","test_new_list",""
"passed","Wed Jun 01 08:03:09 GMT 2022","Wed Jun 01 08:03:09 GMT 2022","300","test","test_conduit","TestConduit","","","test_check_cookies",""
