"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 01 11:38:31 GMT 2022","Wed Jun 01 11:38:33 GMT 2022","2267","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Jun 01 11:38:18 GMT 2022","Wed Jun 01 11:38:18 GMT 2022","251","test","test_conduit","TestConduit","","","test_check_cookies",""
"broken","Wed Jun 01 11:38:24 GMT 2022","Wed Jun 01 11:38:26 GMT 2022","1245","test","test_conduit","TestConduit","","","test_new_article",""
"broken","Wed Jun 01 11:38:39 GMT 2022","Wed Jun 01 11:38:40 GMT 2022","1246","test","test_conduit","TestConduit","","","test_new_list",""
"failed","Wed Jun 01 11:38:22 GMT 2022","Wed Jun 01 11:38:23 GMT 2022","1265","test","test_conduit","TestConduit","","","test_login",""
"broken","Wed Jun 01 11:38:42 GMT 2022","Wed Jun 01 11:38:43 GMT 2022","1247","test","test_conduit","TestConduit","","","test_next_page",""
"failed","Wed Jun 01 11:38:47 GMT 2022","Wed Jun 01 11:38:49 GMT 2022","1262","test","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Jun 01 11:38:27 GMT 2022","Wed Jun 01 11:38:29 GMT 2022","2261","test","test_conduit","TestConduit","","","test_modify_article",""
"broken","Wed Jun 01 11:38:45 GMT 2022","Wed Jun 01 11:38:46 GMT 2022","1243","test","test_conduit","TestConduit","","","test_write_comment",""
"broken","Wed Jun 01 11:38:35 GMT 2022","Wed Jun 01 11:38:37 GMT 2022","2270","test","test_conduit","TestConduit","","","test_collect_data",""
"broken","Wed Jun 01 11:38:20 GMT 2022","Wed Jun 01 11:38:20 GMT 2022","311","test","test_conduit","TestConduit","","","test_registration",""
