"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 16:00:50 GMT 2022","Wed Jun 01 16:00:55 GMT 2022","5110","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Wed Jun 01 16:00:35 GMT 2022","Wed Jun 01 16:00:35 GMT 2022","581","test","test_conduit","TestConduit","","","test_check_cookies",""
"passed","Wed Jun 01 16:00:46 GMT 2022","Wed Jun 01 16:00:48 GMT 2022","1346","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 16:01:13 GMT 2022","Wed Jun 01 16:01:16 GMT 2022","2589","test","test_conduit","TestConduit","","","test_collect_data",""
"passed","Wed Jun 01 16:01:21 GMT 2022","Wed Jun 01 16:01:23 GMT 2022","2433","test","test_conduit","TestConduit","","","test_next_page",""
"broken","Wed Jun 01 16:00:37 GMT 2022","Wed Jun 01 16:00:45 GMT 2022","7742","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Jun 01 16:01:04 GMT 2022","Wed Jun 01 16:01:11 GMT 2022","7458","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Jun 01 16:00:56 GMT 2022","Wed Jun 01 16:01:02 GMT 2022","5957","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Wed Jun 01 16:01:25 GMT 2022","Wed Jun 01 16:01:28 GMT 2022","3545","test","test_conduit","TestConduit","","","test_write_comment",""
"passed","Wed Jun 01 16:01:17 GMT 2022","Wed Jun 01 16:01:19 GMT 2022","1619","test","test_conduit","TestConduit","","","test_new_list",""
"passed","Wed Jun 01 16:01:30 GMT 2022","Wed Jun 01 16:01:31 GMT 2022","1406","test","test_conduit","TestConduit","","","test_logout",""
