"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 04 19:08:30 GMT 2022","Sat Jun 04 19:08:35 GMT 2022","4715","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Sat Jun 04 19:08:44 GMT 2022","Sat Jun 04 19:08:51 GMT 2022","7373","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sat Jun 04 19:09:04 GMT 2022","Sat Jun 04 19:09:07 GMT 2022","3482","test","test_conduit","TestConduit","","","test_write_comment",""
"passed","Sat Jun 04 19:08:20 GMT 2022","Sat Jun 04 19:08:20 GMT 2022","259","test","test_conduit","TestConduit","","","test_check_cookies",""
"passed","Sat Jun 04 19:08:36 GMT 2022","Sat Jun 04 19:08:42 GMT 2022","5763","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Sat Jun 04 19:08:57 GMT 2022","Sat Jun 04 19:08:58 GMT 2022","1530","test","test_conduit","TestConduit","","","test_new_list",""
"passed","Sat Jun 04 19:09:09 GMT 2022","Sat Jun 04 19:09:10 GMT 2022","1321","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sat Jun 04 19:08:27 GMT 2022","Sat Jun 04 19:08:29 GMT 2022","1272","test","test_conduit","TestConduit","","","test_login",""
"passed","Sat Jun 04 19:08:53 GMT 2022","Sat Jun 04 19:08:55 GMT 2022","2472","test","test_conduit","TestConduit","","","test_collect_data",""
"passed","Sat Jun 04 19:08:22 GMT 2022","Sat Jun 04 19:08:26 GMT 2022","4326","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sat Jun 04 19:09:00 GMT 2022","Sat Jun 04 19:09:02 GMT 2022","2375","test","test_conduit","TestConduit","","","test_next_page",""
