"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 08:23:47 GMT 2022","Wed Jun 01 08:23:50 GMT 2022","2368","test","test_conduit","TestConduit","","","test_next_page",""
"passed","Wed Jun 01 08:23:15 GMT 2022","Wed Jun 01 08:23:16 GMT 2022","258","test","test_conduit","TestConduit","","","test_check_cookies",""
"broken","Wed Jun 01 08:23:17 GMT 2022","Wed Jun 01 08:23:19 GMT 2022","2310","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Jun 01 08:23:56 GMT 2022","Wed Jun 01 08:23:57 GMT 2022","1336","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 01 08:23:21 GMT 2022","Wed Jun 01 08:23:22 GMT 2022","1273","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 08:23:51 GMT 2022","Wed Jun 01 08:23:55 GMT 2022","3496","test","test_conduit","TestConduit","","","test_write_comment",""
"passed","Wed Jun 01 08:23:24 GMT 2022","Wed Jun 01 08:23:29 GMT 2022","4687","test","test_conduit","TestConduit","","","test_new_article",""
"broken","Wed Jun 01 08:23:40 GMT 2022","Wed Jun 01 08:23:43 GMT 2022","2302","test","test_conduit","TestConduit","","","test_collect_data",""
"passed","Wed Jun 01 08:23:30 GMT 2022","Wed Jun 01 08:23:36 GMT 2022","5762","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Wed Jun 01 08:23:44 GMT 2022","Wed Jun 01 08:23:46 GMT 2022","1535","test","test_conduit","TestConduit","","","test_new_list",""
"broken","Wed Jun 01 08:23:37 GMT 2022","Wed Jun 01 08:23:39 GMT 2022","1332","test","test_conduit","TestConduit","","","test_delete_article",""
