"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 07:40:46 GMT 2022","Wed Jun 01 07:40:47 GMT 2022","1426","test","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Jun 01 07:40:19 GMT 2022","Wed Jun 01 07:40:22 GMT 2022","2403","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Wed Jun 01 07:40:33 GMT 2022","Wed Jun 01 07:40:35 GMT 2022","1634","test","test_conduit","TestConduit","","","test_new_list",""
"broken","Wed Jun 01 07:40:26 GMT 2022","Wed Jun 01 07:40:28 GMT 2022","1295","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Jun 01 07:40:41 GMT 2022","Wed Jun 01 07:40:44 GMT 2022","3623","test","test_conduit","TestConduit","","","test_write_comment",""
"broken","Wed Jun 01 07:40:11 GMT 2022","Wed Jun 01 07:40:14 GMT 2022","3893","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Jun 01 07:40:37 GMT 2022","Wed Jun 01 07:40:39 GMT 2022","2442","test","test_conduit","TestConduit","","","test_next_page",""
"broken","Wed Jun 01 07:40:23 GMT 2022","Wed Jun 01 07:40:25 GMT 2022","1300","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Wed Jun 01 07:40:16 GMT 2022","Wed Jun 01 07:40:18 GMT 2022","1374","test","test_conduit","TestConduit","","","test_login",""
"broken","Wed Jun 01 07:40:29 GMT 2022","Wed Jun 01 07:40:32 GMT 2022","2362","test","test_conduit","TestConduit","","","test_collect_data",""
"passed","Wed Jun 01 07:40:08 GMT 2022","Wed Jun 01 07:40:09 GMT 2022","588","test","test_conduit","TestConduit","","","test_check_cookies",""
