"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 14:40:59 GMT 2022","Wed Jun 01 14:41:03 GMT 2022","4913","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Wed Jun 01 14:40:49 GMT 2022","Wed Jun 01 14:40:50 GMT 2022","811","test","test_conduit","TestConduit","","","test_check_cookies",""
"passed","Wed Jun 01 14:41:21 GMT 2022","Wed Jun 01 14:41:24 GMT 2022","2557","test","test_conduit","TestConduit","","","test_collect_data",""
"passed","Wed Jun 01 14:41:38 GMT 2022","Wed Jun 01 14:41:40 GMT 2022","1365","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 01 14:41:33 GMT 2022","Wed Jun 01 14:41:37 GMT 2022","3555","test","test_conduit","TestConduit","","","test_write_comment",""
"passed","Wed Jun 01 14:40:56 GMT 2022","Wed Jun 01 14:40:57 GMT 2022","1311","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 14:41:12 GMT 2022","Wed Jun 01 14:41:20 GMT 2022","7410","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Jun 01 14:41:29 GMT 2022","Wed Jun 01 14:41:31 GMT 2022","2456","test","test_conduit","TestConduit","","","test_next_page",""
"broken","Wed Jun 01 14:40:51 GMT 2022","Wed Jun 01 14:40:54 GMT 2022","2445","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Jun 01 14:41:26 GMT 2022","Wed Jun 01 14:41:27 GMT 2022","1652","test","test_conduit","TestConduit","","","test_new_list",""
"passed","Wed Jun 01 14:41:05 GMT 2022","Wed Jun 01 14:41:11 GMT 2022","5838","test","test_conduit","TestConduit","","","test_modify_article",""
