"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 15:28:53 GMT 2022","Wed Jun 01 15:28:57 GMT 2022","3489","test","test_conduit","TestConduit","","","test_write_comment",""
"passed","Wed Jun 01 15:28:08 GMT 2022","Wed Jun 01 15:28:08 GMT 2022","276","test","test_conduit","TestConduit","","","test_check_cookies",""
"passed","Wed Jun 01 15:28:25 GMT 2022","Wed Jun 01 15:28:31 GMT 2022","5825","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Wed Jun 01 15:28:49 GMT 2022","Wed Jun 01 15:28:52 GMT 2022","2378","test","test_conduit","TestConduit","","","test_next_page",""
"passed","Wed Jun 01 15:28:16 GMT 2022","Wed Jun 01 15:28:17 GMT 2022","1286","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 15:28:58 GMT 2022","Wed Jun 01 15:29:00 GMT 2022","1330","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 01 15:28:42 GMT 2022","Wed Jun 01 15:28:44 GMT 2022","2474","test","test_conduit","TestConduit","","","test_collect_data",""
"passed","Wed Jun 01 15:28:46 GMT 2022","Wed Jun 01 15:28:47 GMT 2022","1515","test","test_conduit","TestConduit","","","test_new_list",""
"passed","Wed Jun 01 15:28:19 GMT 2022","Wed Jun 01 15:28:24 GMT 2022","4636","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Wed Jun 01 15:28:33 GMT 2022","Wed Jun 01 15:28:40 GMT 2022","7370","test","test_conduit","TestConduit","","","test_delete_article",""
"broken","Wed Jun 01 15:28:10 GMT 2022","Wed Jun 01 15:28:14 GMT 2022","4321","test","test_conduit","TestConduit","","","test_registration",""
