"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 04 19:02:47 GMT 2022","Sat Jun 04 19:02:48 GMT 2022","1646","test","test_conduit","TestConduit","","","test_new_list",""
"passed","Sat Jun 04 19:02:50 GMT 2022","Sat Jun 04 19:02:52 GMT 2022","2443","test","test_conduit","TestConduit","","","test_next_page",""
"passed","Sat Jun 04 19:02:42 GMT 2022","Sat Jun 04 19:02:45 GMT 2022","2565","test","test_conduit","TestConduit","","","test_collect_data",""
"passed","Sat Jun 04 19:02:16 GMT 2022","Sat Jun 04 19:02:17 GMT 2022","1329","test","test_conduit","TestConduit","","","test_login",""
"passed","Sat Jun 04 19:02:54 GMT 2022","Sat Jun 04 19:02:57 GMT 2022","3600","test","test_conduit","TestConduit","","","test_write_comment",""
"passed","Sat Jun 04 19:02:19 GMT 2022","Sat Jun 04 19:02:24 GMT 2022","5457","test","test_conduit","TestConduit","","","test_new_article",""
"broken","Sat Jun 04 19:02:12 GMT 2022","Sat Jun 04 19:02:14 GMT 2022","1566","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sat Jun 04 19:02:10 GMT 2022","Sat Jun 04 19:02:11 GMT 2022","507","test","test_conduit","TestConduit","","","test_check_cookies",""
"passed","Sat Jun 04 19:02:33 GMT 2022","Sat Jun 04 19:02:41 GMT 2022","7442","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sat Jun 04 19:02:59 GMT 2022","Sat Jun 04 19:03:01 GMT 2022","1431","test","test_conduit","TestConduit","","","test_logout",""
"passed","Sat Jun 04 19:02:26 GMT 2022","Sat Jun 04 19:02:32 GMT 2022","5961","test","test_conduit","TestConduit","","","test_modify_article",""
