"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 01 07:27:28 GMT 2022","Wed Jun 01 07:27:28 GMT 2022","0","test","test_conduit","TestConduit","","","test_registration",""
"broken","Wed Jun 01 07:27:38 GMT 2022","Wed Jun 01 07:27:38 GMT 2022","0","test","test_conduit","TestConduit","","","test_write_comment",""
"broken","Wed Jun 01 07:27:33 GMT 2022","Wed Jun 01 07:27:33 GMT 2022","0","test","test_conduit","TestConduit","","","test_delete_article",""
"broken","Wed Jun 01 07:27:37 GMT 2022","Wed Jun 01 07:27:37 GMT 2022","0","test","test_conduit","TestConduit","","","test_next_page",""
"broken","Wed Jun 01 07:27:39 GMT 2022","Wed Jun 01 07:27:39 GMT 2022","0","test","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Jun 01 07:27:30 GMT 2022","Wed Jun 01 07:27:30 GMT 2022","0","test","test_conduit","TestConduit","","","test_new_article",""
"broken","Wed Jun 01 07:27:26 GMT 2022","Wed Jun 01 07:27:26 GMT 2022","0","test","test_conduit","TestConduit","","","test_check_cookies",""
"broken","Wed Jun 01 07:27:34 GMT 2022","Wed Jun 01 07:27:34 GMT 2022","0","test","test_conduit","TestConduit","","","test_collect_data",""
"broken","Wed Jun 01 07:27:29 GMT 2022","Wed Jun 01 07:27:29 GMT 2022","0","test","test_conduit","TestConduit","","","test_login",""
"broken","Wed Jun 01 07:27:32 GMT 2022","Wed Jun 01 07:27:32 GMT 2022","0","test","test_conduit","TestConduit","","","test_modify_article",""
"broken","Wed Jun 01 07:27:35 GMT 2022","Wed Jun 01 07:27:35 GMT 2022","0","test","test_conduit","TestConduit","","","test_new_list",""
