"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 01 10:43:13 GMT 2022","Wed Jun 01 10:43:17 GMT 2022","4056","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Jun 01 10:43:50 GMT 2022","Wed Jun 01 10:43:53 GMT 2022","2487","test","test_conduit","TestConduit","","","test_next_page",""
"passed","Wed Jun 01 10:43:21 GMT 2022","Wed Jun 01 10:43:27 GMT 2022","5486","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Wed Jun 01 10:43:29 GMT 2022","Wed Jun 01 10:43:35 GMT 2022","5968","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Wed Jun 01 10:43:42 GMT 2022","Wed Jun 01 10:43:45 GMT 2022","2754","test","test_conduit","TestConduit","","","test_collect_data",""
"passed","Wed Jun 01 10:43:18 GMT 2022","Wed Jun 01 10:43:20 GMT 2022","1343","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 10:44:00 GMT 2022","Wed Jun 01 10:44:01 GMT 2022","1541","test","test_conduit","TestConduit","","","test_logout",""
"failed","Wed Jun 01 10:43:36 GMT 2022","Wed Jun 01 10:43:41 GMT 2022","4513","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Jun 01 10:43:47 GMT 2022","Wed Jun 01 10:43:49 GMT 2022","1692","test","test_conduit","TestConduit","","","test_new_list",""
"passed","Wed Jun 01 10:43:10 GMT 2022","Wed Jun 01 10:43:11 GMT 2022","542","test","test_conduit","TestConduit","","","test_check_cookies",""
"passed","Wed Jun 01 10:43:54 GMT 2022","Wed Jun 01 10:43:58 GMT 2022","3684","test","test_conduit","TestConduit","","","test_write_comment",""
