"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 16:39:23 GMT 2022","Wed Jun 01 16:39:24 GMT 2022","1479","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 01 16:38:41 GMT 2022","Wed Jun 01 16:38:47 GMT 2022","5499","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Wed Jun 01 16:38:38 GMT 2022","Wed Jun 01 16:38:39 GMT 2022","1363","test","test_conduit","TestConduit","","","test_login",""
"failed","Wed Jun 01 16:38:30 GMT 2022","Wed Jun 01 16:38:36 GMT 2022","5783","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Jun 01 16:39:18 GMT 2022","Wed Jun 01 16:39:21 GMT 2022","3634","test","test_conduit","TestConduit","","","test_write_comment",""
"passed","Wed Jun 01 16:38:28 GMT 2022","Wed Jun 01 16:38:29 GMT 2022","537","test","test_conduit","TestConduit","","","test_check_cookies",""
"passed","Wed Jun 01 16:38:56 GMT 2022","Wed Jun 01 16:39:04 GMT 2022","7522","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Jun 01 16:39:10 GMT 2022","Wed Jun 01 16:39:12 GMT 2022","1689","test","test_conduit","TestConduit","","","test_new_list",""
"passed","Wed Jun 01 16:39:06 GMT 2022","Wed Jun 01 16:39:08 GMT 2022","2583","test","test_conduit","TestConduit","","","test_collect_data",""
"passed","Wed Jun 01 16:38:48 GMT 2022","Wed Jun 01 16:38:54 GMT 2022","5962","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Wed Jun 01 16:39:13 GMT 2022","Wed Jun 01 16:39:16 GMT 2022","2476","test","test_conduit","TestConduit","","","test_next_page",""
