"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 16:32:01 GMT 2022","Wed Jun 01 16:32:04 GMT 2022","3548","test","test_conduit","TestConduit","","","test_write_comment",""
"passed","Wed Jun 01 16:31:23 GMT 2022","Wed Jun 01 16:31:25 GMT 2022","1312","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 16:31:33 GMT 2022","Wed Jun 01 16:31:39 GMT 2022","5867","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Wed Jun 01 16:31:26 GMT 2022","Wed Jun 01 16:31:31 GMT 2022","5063","test","test_conduit","TestConduit","","","test_new_article",""
"failed","Wed Jun 01 16:31:16 GMT 2022","Wed Jun 01 16:31:22 GMT 2022","5813","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Jun 01 16:31:49 GMT 2022","Wed Jun 01 16:31:52 GMT 2022","2549","test","test_conduit","TestConduit","","","test_collect_data",""
"passed","Wed Jun 01 16:32:06 GMT 2022","Wed Jun 01 16:32:07 GMT 2022","1442","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 01 16:31:40 GMT 2022","Wed Jun 01 16:31:48 GMT 2022","7455","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Jun 01 16:31:57 GMT 2022","Wed Jun 01 16:31:59 GMT 2022","2451","test","test_conduit","TestConduit","","","test_next_page",""
"passed","Wed Jun 01 16:31:54 GMT 2022","Wed Jun 01 16:31:55 GMT 2022","1617","test","test_conduit","TestConduit","","","test_new_list",""
"passed","Wed Jun 01 16:31:14 GMT 2022","Wed Jun 01 16:31:14 GMT 2022","579","test","test_conduit","TestConduit","","","test_check_cookies",""
