"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 10:14:26 GMT 2022","Wed Jun 01 10:14:28 GMT 2022","1529","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 01 10:14:13 GMT 2022","Wed Jun 01 10:14:15 GMT 2022","1725","test","test_conduit","TestConduit","","","test_new_list",""
"passed","Wed Jun 01 10:13:41 GMT 2022","Wed Jun 01 10:13:41 GMT 2022","788","test","test_conduit","TestConduit","","","test_check_cookies",""
"broken","Wed Jun 01 10:13:43 GMT 2022","Wed Jun 01 10:13:45 GMT 2022","1960","test","test_conduit","TestConduit","","","test_registration",""
"broken","Wed Jun 01 10:14:05 GMT 2022","Wed Jun 01 10:14:07 GMT 2022","2377","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Jun 01 10:14:09 GMT 2022","Wed Jun 01 10:14:12 GMT 2022","2630","test","test_conduit","TestConduit","","","test_collect_data",""
"passed","Wed Jun 01 10:14:17 GMT 2022","Wed Jun 01 10:14:19 GMT 2022","2486","test","test_conduit","TestConduit","","","test_next_page",""
"passed","Wed Jun 01 10:13:47 GMT 2022","Wed Jun 01 10:13:48 GMT 2022","1485","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 10:13:50 GMT 2022","Wed Jun 01 10:13:56 GMT 2022","5451","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Wed Jun 01 10:13:57 GMT 2022","Wed Jun 01 10:14:03 GMT 2022","6016","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Wed Jun 01 10:14:21 GMT 2022","Wed Jun 01 10:14:25 GMT 2022","3670","test","test_conduit","TestConduit","","","test_write_comment",""
