"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 01 16:15:45 GMT 2022","Wed Jun 01 16:15:47 GMT 2022","2255","test","test_conduit","TestConduit","","","test_modify_article",""
"broken","Wed Jun 01 16:15:49 GMT 2022","Wed Jun 01 16:15:51 GMT 2022","2266","test","test_conduit","TestConduit","","","test_delete_article",""
"broken","Wed Jun 01 16:16:02 GMT 2022","Wed Jun 01 16:16:04 GMT 2022","1251","test","test_conduit","TestConduit","","","test_write_comment",""
"broken","Wed Jun 01 16:15:36 GMT 2022","Wed Jun 01 16:15:37 GMT 2022","436","test","test_conduit","TestConduit","","","test_registration",""
"broken","Wed Jun 01 16:15:42 GMT 2022","Wed Jun 01 16:15:43 GMT 2022","1250","test","test_conduit","TestConduit","","","test_new_article",""
"broken","Wed Jun 01 16:15:59 GMT 2022","Wed Jun 01 16:16:01 GMT 2022","1234","test","test_conduit","TestConduit","","","test_next_page",""
"failed","Wed Jun 01 16:16:05 GMT 2022","Wed Jun 01 16:16:07 GMT 2022","1265","test","test_conduit","TestConduit","","","test_logout",""
"failed","Wed Jun 01 16:15:39 GMT 2022","Wed Jun 01 16:15:40 GMT 2022","1270","test","test_conduit","TestConduit","","","test_login",""
"broken","Wed Jun 01 16:15:53 GMT 2022","Wed Jun 01 16:15:55 GMT 2022","2248","test","test_conduit","TestConduit","","","test_collect_data",""
"passed","Wed Jun 01 16:15:34 GMT 2022","Wed Jun 01 16:15:35 GMT 2022","345","test","test_conduit","TestConduit","","","test_check_cookies",""
"broken","Wed Jun 01 16:15:57 GMT 2022","Wed Jun 01 16:15:58 GMT 2022","1251","test","test_conduit","TestConduit","","","test_new_list",""
