"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 01 09:11:08 GMT 2022","Wed Jun 01 09:11:13 GMT 2022","4312","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Jun 01 09:11:45 GMT 2022","Wed Jun 01 09:11:47 GMT 2022","2356","test","test_conduit","TestConduit","","","test_next_page",""
"passed","Wed Jun 01 09:11:23 GMT 2022","Wed Jun 01 09:11:29 GMT 2022","5711","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Wed Jun 01 09:11:14 GMT 2022","Wed Jun 01 09:11:16 GMT 2022","1262","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 09:11:06 GMT 2022","Wed Jun 01 09:11:07 GMT 2022","765","test","test_conduit","TestConduit","","","test_check_cookies",""
"passed","Wed Jun 01 09:11:17 GMT 2022","Wed Jun 01 09:11:22 GMT 2022","4718","test","test_conduit","TestConduit","","","test_new_article",""
"failed","Wed Jun 01 09:11:38 GMT 2022","Wed Jun 01 09:11:40 GMT 2022","2432","test","test_conduit","TestConduit","","","test_collect_data",""
"passed","Wed Jun 01 09:11:41 GMT 2022","Wed Jun 01 09:11:43 GMT 2022","1519","test","test_conduit","TestConduit","","","test_new_list",""
"passed","Wed Jun 01 09:11:48 GMT 2022","Wed Jun 01 09:11:52 GMT 2022","3466","test","test_conduit","TestConduit","","","test_write_comment",""
"passed","Wed Jun 01 09:11:53 GMT 2022","Wed Jun 01 09:11:55 GMT 2022","1300","test","test_conduit","TestConduit","","","test_logout",""
"broken","Wed Jun 01 09:11:31 GMT 2022","Wed Jun 01 09:11:36 GMT 2022","5332","test","test_conduit","TestConduit","","","test_delete_article",""
