"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 09:19:27 GMT 2022","Wed Jun 01 09:19:29 GMT 2022","1639","test","test_conduit","TestConduit","","","test_new_list",""
"passed","Wed Jun 01 09:19:34 GMT 2022","Wed Jun 01 09:19:38 GMT 2022","3481","test","test_conduit","TestConduit","","","test_write_comment",""
"passed","Wed Jun 01 09:19:30 GMT 2022","Wed Jun 01 09:19:33 GMT 2022","2383","test","test_conduit","TestConduit","","","test_next_page",""
"passed","Wed Jun 01 09:19:02 GMT 2022","Wed Jun 01 09:19:03 GMT 2022","1274","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 09:19:11 GMT 2022","Wed Jun 01 09:19:17 GMT 2022","5742","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Wed Jun 01 09:19:39 GMT 2022","Wed Jun 01 09:19:41 GMT 2022","1330","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 01 09:19:05 GMT 2022","Wed Jun 01 09:19:09 GMT 2022","4704","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Wed Jun 01 09:18:54 GMT 2022","Wed Jun 01 09:18:54 GMT 2022","785","test","test_conduit","TestConduit","","","test_check_cookies",""
"broken","Wed Jun 01 09:18:56 GMT 2022","Wed Jun 01 09:19:00 GMT 2022","4340","test","test_conduit","TestConduit","","","test_registration",""
"broken","Wed Jun 01 09:19:18 GMT 2022","Wed Jun 01 09:19:21 GMT 2022","2274","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Jun 01 09:19:22 GMT 2022","Wed Jun 01 09:19:25 GMT 2022","2501","test","test_conduit","TestConduit","","","test_collect_data",""
