"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 10:26:19 GMT 2022","Wed Jun 01 10:26:19 GMT 2022","763","test","test_conduit","TestConduit","","","test_check_cookies",""
"broken","Wed Jun 01 10:26:41 GMT 2022","Wed Jun 01 10:26:43 GMT 2022","2259","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Jun 01 10:26:49 GMT 2022","Wed Jun 01 10:26:50 GMT 2022","1534","test","test_conduit","TestConduit","","","test_new_list",""
"broken","Wed Jun 01 10:26:21 GMT 2022","Wed Jun 01 10:26:22 GMT 2022","1323","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Jun 01 10:26:33 GMT 2022","Wed Jun 01 10:26:39 GMT 2022","5748","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Wed Jun 01 10:26:27 GMT 2022","Wed Jun 01 10:26:32 GMT 2022","4725","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Wed Jun 01 10:26:45 GMT 2022","Wed Jun 01 10:26:47 GMT 2022","2468","test","test_conduit","TestConduit","","","test_collect_data",""
"passed","Wed Jun 01 10:26:24 GMT 2022","Wed Jun 01 10:26:25 GMT 2022","1260","test","test_conduit","TestConduit","","","test_login",""
"passed","Wed Jun 01 10:26:56 GMT 2022","Wed Jun 01 10:27:00 GMT 2022","3487","test","test_conduit","TestConduit","","","test_write_comment",""
"passed","Wed Jun 01 10:27:01 GMT 2022","Wed Jun 01 10:27:03 GMT 2022","1332","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 01 10:26:52 GMT 2022","Wed Jun 01 10:26:54 GMT 2022","2386","test","test_conduit","TestConduit","","","test_next_page",""
