"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 16:25:41 GMT 2022","Wed Jun 01 16:25:47 GMT 2022","5917","test","test_conduit","TestConduit","","","test_modify_article",""
"passed","Wed Jun 01 16:26:02 GMT 2022","Wed Jun 01 16:26:04 GMT 2022","1620","test","test_conduit","TestConduit","","","test_new_list",""
"passed","Wed Jun 01 16:26:09 GMT 2022","Wed Jun 01 16:26:13 GMT 2022","3581","test","test_conduit","TestConduit","","","test_write_comment",""
"failed","Wed Jun 01 16:25:27 GMT 2022","Wed Jun 01 16:25:29 GMT 2022","2564","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Jun 01 16:25:34 GMT 2022","Wed Jun 01 16:25:40 GMT 2022","5384","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Wed Jun 01 16:25:24 GMT 2022","Wed Jun 01 16:25:25 GMT 2022","456","test","test_conduit","TestConduit","","","test_check_cookies",""
"passed","Wed Jun 01 16:26:16 GMT 2022","Wed Jun 01 16:26:17 GMT 2022","1347","test","test_conduit","TestConduit","","","test_logout",""
"passed","Wed Jun 01 16:26:05 GMT 2022","Wed Jun 01 16:26:08 GMT 2022","2419","test","test_conduit","TestConduit","","","test_next_page",""
"passed","Wed Jun 01 16:25:58 GMT 2022","Wed Jun 01 16:26:01 GMT 2022","2539","test","test_conduit","TestConduit","","","test_collect_data",""
"passed","Wed Jun 01 16:25:49 GMT 2022","Wed Jun 01 16:25:56 GMT 2022","7473","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Wed Jun 01 16:25:31 GMT 2022","Wed Jun 01 16:25:32 GMT 2022","1377","test","test_conduit","TestConduit","","","test_login",""
